date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:03:47	0/0	---M--	200	added ('OK')	text/plain	etag:%22667100b2-0%22	https://www.dlx-alloy.com/robots.txt		(from )
18:03:48	168172/168172	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Feb%202025%2002:03:48%20GMT	https://www.dlx-alloy.com/	C:/Users/HP/Pictures/Camera%20Roll/ALLOY%20Sales19/dlx-alloy/www.dlx-alloy.com/index.html	(from )
18:03:48	428096/428096	---MCZ	200	added ('OK')	text/css	etag:W/%2267a77176-68840%22	https://www.dlx-alloy.com/photo/dlx-alloy/sitetpl/style/commonV2.css?ver=1731291878	C:/Users/HP/Pictures/Camera%20Roll/ALLOY%20Sales19/dlx-alloy/www.dlx-alloy.com/photo/dlx-alloy/sitetpl/style/commonV2a8ff.css	(from https://www.dlx-alloy.com/)
18:03:48	5153/5153	---M--	200	added ('OK')	image/gif	etag:%2266e542c2-1421%22	https://www.dlx-alloy.com/logo.gif	C:/Users/HP/Pictures/Camera%20Roll/ALLOY%20Sales19/dlx-alloy/www.dlx-alloy.com/logo.gif	(from https://www.dlx-alloy.com/)
18:03:50	2419/2419	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Feb%202025%2002:03:51%20GMT	https://www.dlx-alloy.com/webim/webim_tab.html	C:/Users/HP/Pictures/Camera%20Roll/ALLOY%20Sales19/dlx-alloy/www.dlx-alloy.com/webim/webim_tab.html	(from https://www.dlx-alloy.com/)
18:03:51	10043/10043	---M--	200	added ('OK')	image/gif	etag:%226541b9cc-273b%22	https://www.dlx-alloy.com/images/floatimage_chat.gif	C:/Users/HP/Pictures/Camera%20Roll/ALLOY%20Sales19/dlx-alloy/www.dlx-alloy.com/images/floatimage_chat.gif	(from https://www.dlx-alloy.com/)
18:03:52	100938/100938	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Feb%202025%2002:03:52%20GMT	https://www.dlx-alloy.com/contactnow.html	C:/Users/HP/Pictures/Camera%20Roll/ALLOY%20Sales19/dlx-alloy/www.dlx-alloy.com/contactnow.html	(from https://www.dlx-alloy.com/)
18:03:52	81489/81489	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Feb%202025%2002:03:53%20GMT	https://www.dlx-alloy.com/contactsave.html	C:/Users/HP/Pictures/Camera%20Roll/ALLOY%20Sales19/dlx-alloy/www.dlx-alloy.com/contactsave.html	(from https://www.dlx-alloy.com/)
18:03:53	71268/71268	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Feb%202025%2002:03:54%20GMT	https://www.dlx-alloy.com/updateinquiry.html	C:/Users/HP/Pictures/Camera%20Roll/ALLOY%20Sales19/dlx-alloy/www.dlx-alloy.com/updateinquiry.html	(from https://www.dlx-alloy.com/)
18:03:53	1336/1336	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2013%20Feb%202025%2002:03:54%20GMT	https://www.dlx-alloy.com/POST	C:/Users/HP/Pictures/Camera%20Roll/ALLOY%20Sales19/dlx-alloy/www.dlx-alloy.com/POST	(from https://www.dlx-alloy.com/)
